KEYCODE,TYPE,BROKERS_WITH_DATA,TOTAL_BROKERS,COVERAGE_PCT,TOTAL_RECORDS,SAMPLE_BROKERS,STATUS
BS.102,BS,125,144,86.8,3993,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.106,BS,125,144,86.8,5156,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.107,BS,125,144,86.8,4126,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.11,BS,125,144,86.8,5246,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.116,BS,125,144,86.8,5022,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.143,BS,125,144,86.8,5262,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.145,BS,125,144,86.8,5262,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.158,BS,125,144,86.8,5224,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.169,BS,125,144,86.8,5262,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.21,BS,125,144,86.8,4161,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.27,BS,125,144,86.8,4792,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.3,BS,125,144,86.8,5262,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.34,BS,125,144,86.8,5236,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.37,BS,125,144,86.8,4844,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.4,BS,125,144,86.8,5259,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.44,BS,125,144,86.8,5248,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.62,BS,125,144,86.8,5208,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.63,BS,125,144,86.8,5140,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.64,BS,125,144,86.8,5250,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.65,BS,125,144,86.8,5204,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.71,BS,125,144,86.8,4994,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.72,BS,125,144,86.8,5213,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.73,BS,125,144,86.8,5175,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.83,BS,125,144,86.8,5227,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.93,BS,125,144,86.8,5262,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.94,BS,125,144,86.8,5262,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.142,BS,148,144,102.8,6685,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.92,BS,148,144,102.8,6685,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.55,IS,3,144,2.1,12,"SSI, Sector, VND",PARTIAL
IS.31,IS,5,144,3.5,25,"AAS, ABW, KISVN, NVSC, Sector",PARTIAL
IS.9,IS,6,144,4.2,34,"ABSC, KISVN, PHS, Sector, VIX",PARTIAL
IS.40,IS,7,144,4.9,47,"ACBS, BVS, IRSC, JSIC, SHS",PARTIAL
IS.52,IS,8,144,5.6,29,"ACBS, DASC, NHSV, PHS, SSI",PARTIAL
IS.46,IS,9,144,6.2,48,"AGR, APS, DASC, NSIC, SSI",PARTIAL
IS.73,IS,10,144,6.9,40,"BMS, BMSC, BVS, HAC, HBS",PARTIAL
IS.53,IS,12,144,8.3,133,"APG, BETA, DASC, ECCS, HBS",PARTIAL
IS.36,IS,13,144,9.0,31,"APG, APS, GLSC, HCM, JBSV",PARTIAL
IS.74,IS,14,144,9.7,286,"AGR, BVS, KEVS, SBS, SSI",PARTIAL
IS.54,IS,35,144,24.3,408,"AAS, ABW, AGR, APG, BSI",PARTIAL
IS.34,IS,36,144,25.0,414,"AAS, ABSC, ABW, AGR, APG",GOOD
IS.50,IS,36,144,25.0,641,"ACBS, BSI, BVS, DNSE, DSE",GOOD
IS.44,IS,40,144,27.8,615,"ABSC, ACBS, BSI, BVS, DNSE",GOOD
IS.47,IS,40,144,27.8,337,"AAS, ABW, APG, APS, ART",GOOD
IS.26,IS,50,144,34.7,763,"ABSC, ABW, ACBS, AGR, APG",GOOD
IS.70,IS,53,144,36.8,1173,"ABSC, ABW, ACBS, AGR, APG",GOOD
IS.20,IS,56,144,38.9,350,"ACBS, AGR, APG, APS, APSC",GOOD
